iteracion,valor_a,valor_b,valor_r,f_b,f_r,error_relativo,criterio
1,0,1,0.5,-0.6321205588285577,0.10653065971263342,-1,-0.06734022014992476
2,0.5,1,0.75,-0.6321205588285577,-0.2776334472589853,0.3333333333333333,0.1754978098308487
3,0.5,0.75,0.625,-0.2776334472589853,-0.08973857148100972,0.2,0.024914428952369595
4,0.5,0.625,0.5625,-0.08973857148100972,0.00728282473092301,0.1111111111111111,-0.0006535502876996
5,0.5625,0.625,0.59375,-0.08973857148100972,-0.04149754983697962,0.05263157894736842,0.003723930842332559
6,0.5625,0.59375,0.578125,-0.04149754983697962,-0.01717583918552923,0.02702702702702703,0.0007127552425934467
7,0.5625,0.578125,0.5703125,-0.01717583918552923,-0.004963760389385841,0.0136986301369863,8.525675020359114e-05
8,0.5625,0.5703125,0.56640625,-0.004963760389385841,0.0011552020150243925,0.006896551724137931,-5.734146003916786e-06
9,0.56640625,0.5703125,0.568359375,-0.004963760389385841,-0.0019053596128160155,0.003436426116838488,9.45774857363168e-06
10,0.56640625,0.568359375,0.5673828125,-0.0019053596128160155,-0.00037534916914483407,0.0017211703958691911,7.151751475926142e-07
11,0.56640625,0.5673828125,0.56689453125,-0.00037534916914483407,0.0003898587973693024,0.0008613264427217916,-1.463331756763719e-07
12,0.56689453125,0.5673828125,0.567138671875,-0.00037534916914483407,7.237911846869061e-06,0.00043047783039173483,-2.7167441980658536e-09
13,0.567138671875,0.5673828125,0.5672607421875,-0.00037534916914483407,-0.00018405985369951416,0.00021519259737465033,6.908671315903236e-08
14,0.567138671875,0.5672607421875,0.56719970703125,-0.00018405985369951416,-8.841202725340391e-05,0.00010760787689658883,1.6273104801538983e-08
15,0.567138671875,0.56719970703125,0.567169189453125,-8.841202725340391e-05,-4.058732179312852e-05,5.380683346785042e-05,3.588407400516753e-09
